country,country_iso3,year,type,patch_id,station_count,capacity_gw
Austria,AUT,2050,solar,R02C07,668,3.822537
Austria,AUT,2050,wind,R02C07,331,4.271851
Azerbaijan,AZE,2030,solar,R02C08,258,1.790131
Azerbaijan,AZE,2030,wind,R02C08,657,5.563332
Azerbaijan,AZE,2040,solar,R02C08,258,1.872688
Azerbaijan,AZE,2040,wind,R02C08,657,6.420681
Azerbaijan,AZE,2050,solar,R02C08,259,2.377656
Azerbaijan,AZE,2050,wind,R02C08,657,8.723308
Bangladesh,BGD,2030,solar,R03C09,208,1.32384
Bangladesh,BGD,2030,solar,R03C10,93,0.136414
Bangladesh,BGD,2030,wind,R03C09,443,12.879193
Bangladesh,BGD,2030,wind,R03C10,290,16.629138
Bangladesh,BGD,2040,solar,R03C09,211,1.461019
Bangladesh,BGD,2040,solar,R03C10,94,0.152805
Bangladesh,BGD,2040,wind,R03C09,443,13.640595
Bangladesh,BGD,2040,wind,R03C10,290,17.272354
Bangladesh,BGD,2050,solar,R03C09,225,1.537486
Bangladesh,BGD,2050,solar,R03C10,95,0.221004
Bangladesh,BGD,2050,wind,R03C09,443,16.251331
Bangladesh,BGD,2050,wind,R03C10,361,22.875288
Belarus,BLR,2030,solar,R02C07,804,2.352051
Belarus,BLR,2030,solar,R02C08,152,0.60372
Belarus,BLR,2030,wind,R02C07,1357,4.14034
Belarus,BLR,2030,wind,R02C08,400,1.633546
Belarus,BLR,2040,solar,R02C07,806,2.665045
Belarus,BLR,2040,solar,R02C08,152,0.635533
Belarus,BLR,2040,wind,R02C07,1357,4.635771
Belarus,BLR,2040,wind,R02C08,400,1.804353
Belarus,BLR,2050,solar,R02C07,807,2.994475
Belarus,BLR,2050,solar,R02C08,152,0.719867
Belarus,BLR,2050,wind,R02C07,1391,6.652771
Belarus,BLR,2050,wind,R02C08,400,2.248454
Belgium,BEL,2030,solar,R02C07,179,2.435513
Belgium,BEL,2030,wind,R02C07,107,0.519059
Belgium,BEL,2040,solar,R02C07,378,7.241312
Belgium,BEL,2040,wind,R02C07,107,0.562682
Belgium,BEL,2050,solar,R02C07,378,7.243611
Belgium,BEL,2050,wind,R02C07,107,0.750274
Belize,BLZ,2030,solar,R03C04,85,1.061365
Belize,BLZ,2030,wind,R03C04,128,0.699297
Belize,BLZ,2040,solar,R03C04,85,1.163432
Belize,BLZ,2040,wind,R03C04,129,0.770683
Belize,BLZ,2050,solar,R03C04,85,1.528674
Belize,BLZ,2050,wind,R03C04,129,1.108695
Benin,BEN,2030,solar,R03C07,684,5.954402
Benin,BEN,2030,wind,R03C07,561,10.247755
Benin,BEN,2040,solar,R03C07,685,6.450539
Benin,BEN,2040,wind,R03C07,562,11.071994
Benin,BEN,2050,solar,R03C07,685,9.184411
Benin,BEN,2050,wind,R03C07,562,14.909051
Bhutan,BTN,2030,solar,R03C09,6,0.00443
Bhutan,BTN,2030,solar,R03C10,11,0.00328
Bhutan,BTN,2030,wind,R03C09,13,0.004553
Bhutan,BTN,2030,wind,R03C10,16,0.158038
Bhutan,BTN,2040,solar,R03C09,6,0.005108
Bhutan,BTN,2040,solar,R03C10,11,0.003415
Bhutan,BTN,2040,wind,R03C09,13,0.004711
Bhutan,BTN,2040,wind,R03C10,16,0.158284
Bhutan,BTN,2050,solar,R03C09,6,0.006432
Bhutan,BTN,2050,solar,R03C10,11,0.004585
Bhutan,BTN,2050,wind,R03C09,13,0.006806
Bhutan,BTN,2050,wind,R03C10,30,0.253488
Bolivia,BOL,2030,solar,R04C04,1597,15.395264
Bolivia,BOL,2030,solar,R04C05,117,1.036109
Bolivia,BOL,2030,wind,R04C04,482,4.570583
Bolivia,BOL,2030,wind,R04C05,50,0.212404
Bolivia,BOL,2040,solar,R04C04,1598,17.464206
Bolivia,BOL,2040,solar,R04C05,117,1.178785
Bolivia,BOL,2040,wind,R04C04,482,4.79284
Bolivia,BOL,2040,wind,R04C05,50,0.227077
Bolivia,BOL,2050,solar,R04C04,1598,22.493847
Bolivia,BOL,2050,solar,R04C05,117,1.547763
Bolivia,BOL,2050,wind,R04C04,528,6.926599
Bolivia,BOL,2050,wind,R04C05,50,0.329284
Bosnia and Herz.,BIH,2030,solar,R02C07,228,0.968074
Bosnia and Herz.,BIH,2030,wind,R02C07,222,0.718978
Bosnia and Herz.,BIH,2040,solar,R02C07,307,1.860497
Bosnia and Herz.,BIH,2040,wind,R02C07,222,0.819415
Bosnia and Herz.,BIH,2050,solar,R02C07,307,1.860497
Bosnia and Herz.,BIH,2050,wind,R02C07,222,1.083283
Botswana,BWA,2030,solar,R04C07,1507,19.011734
Botswana,BWA,2030,wind,R04C07,1024,8.545525
