country,country_iso3,year,type,station_count,capacity_gw
Afghanistan,AFG,2030,solar,1157,46.774628
Afghanistan,AFG,2030,wind,1031,19.275934
Afghanistan,AFG,2040,solar,1157,66.549116
Afghanistan,AFG,2040,wind,1031,33.88959
Afghanistan,AFG,2050,solar,1323,82.242494
Afghanistan,AFG,2050,wind,1507,64.279834
Albania,ALB,2030,wind,85,1.151188
Albania,ALB,2040,solar,48,0.214569
Albania,ALB,2040,wind,85,2.175258
Albania,ALB,2050,solar,48,0.214569
Albania,ALB,2050,wind,139,4.163484
Algeria,DZA,2030,solar,2371,72.219259
Algeria,DZA,2030,wind,1815,24.064512
Algeria,DZA,2040,solar,2374,115.491791
Algeria,DZA,2040,wind,1815,41.594267
Algeria,DZA,2050,solar,2773,149.370056
Algeria,DZA,2050,wind,3065,73.05253
Angola,AGO,2030,solar,2409,53.266053
Angola,AGO,2030,wind,1282,18.243937
Angola,AGO,2040,solar,2410,76.963155
Angola,AGO,2040,wind,1282,32.288728
Angola,AGO,2050,solar,2956,111.692442
Angola,AGO,2050,wind,1911,54.889089
Argentina,ARG,2030,solar,10466,137.429956
Argentina,ARG,2030,wind,8026,89.18918
Argentina,ARG,2040,solar,10531,225.233137
Argentina,ARG,2040,wind,8086,154.773801
Argentina,ARG,2050,solar,11800,317.000645
Argentina,ARG,2050,wind,11383,296.40112
Armenia,ARM,2030,solar,83,1.031524
Armenia,ARM,2030,wind,213,0.883554
Armenia,ARM,2040,solar,83,1.0969
Armenia,ARM,2040,wind,213,1.541874
Armenia,ARM,2050,solar,109,1.110596
Armenia,ARM,2050,wind,216,2.096086
Australia,AUS,2030,solar,8404,160.719224
Australia,AUS,2030,wind,6904,133.871482
Australia,AUS,2040,solar,8421,262.160286
Australia,AUS,2040,wind,6904,239.934913
Australia,AUS,2050,solar,9932,370.410632
Australia,AUS,2050,wind,10850,472.511096
Austria,AUT,2030,solar,430,1.492896
Austria,AUT,2030,wind,510,2.597285
Austria,AUT,2040,solar,726,4.095783
Austria,AUT,2040,wind,599,4.784652
Austria,AUT,2050,solar,726,4.095834
Austria,AUT,2050,wind,862,12.298775
Azerbaijan,AZE,2030,solar,183,1.433263
Azerbaijan,AZE,2030,wind,283,1.201739
Azerbaijan,AZE,2040,solar,183,2.445371
Azerbaijan,AZE,2040,wind,283,2.124974
Azerbaijan,AZE,2050,solar,217,3.275292
Azerbaijan,AZE,2050,wind,504,5.053919
Bangladesh,BGD,2030,solar,111,0.848226
Bangladesh,BGD,2030,wind,642,3.858131
Bangladesh,BGD,2040,solar,113,1.348443
Bangladesh,BGD,2040,wind,642,7.012096
Bangladesh,BGD,2050,solar,334,3.720109
Bangladesh,BGD,2050,wind,938,10.192128
Belarus,BLR,2030,solar,986,2.618015
Belarus,BLR,2030,wind,1496,13.153464
Belarus,BLR,2040,solar,986,3.954719
Belarus,BLR,2040,wind,1496,23.482081
Belarus,BLR,2050,solar,1366,4.992526
Belarus,BLR,2050,wind,2252,46.539112
Belgium,BEL,2030,solar,283,1.684546
Belgium,BEL,2030,wind,138,0.377016
Belgium,BEL,2040,solar,378,7.243594
Belgium,BEL,2040,wind,138,0.690163
Belgium,BEL,2050,solar,378,7.243612
Belgium,BEL,2050,wind,234,2.157381
Belize,BLZ,2030,solar,122,0.852234
Belize,BLZ,2030,wind,83,1.749016
Belize,BLZ,2040,solar,122,1.129169
Belize,BLZ,2040,wind,84,3.13611
Belize,BLZ,2050,solar,123,2.74636
Belize,BLZ,2050,wind,86,5.355937
Benin,BEN,2030,solar,670,5.809114
Benin,BEN,2030,wind,355,4.649927
Benin,BEN,2040,solar,671,10.161609
Benin,BEN,2040,wind,355,8.216745
Benin,BEN,2050,solar,741,14.369374
Benin,BEN,2050,wind,533,12.934784
Bhutan,BTN,2030,solar,29,0.093473
Bhutan,BTN,2030,wind,45,0.032042
Bhutan,BTN,2040,solar,29,0.138814
Bhutan,BTN,2040,wind,45,0.055059
Bhutan,BTN,2050,solar,29,0.139941
Bhutan,BTN,2050,wind,45,0.059434
Bolivia,BOL,2030,solar,1760,26.10127
Bolivia,BOL,2030,wind,543,8.19846
Bolivia,BOL,2040,solar,1762,41.343595
Bolivia,BOL,2040,wind,543,14.156206
Bolivia,BOL,2050,solar,1962,63.459313
Bolivia,BOL,2050,wind,842,18.898513
Bosnia and Herz.,BIH,2030,solar,239,1.21175
Bosnia and Herz.,BIH,2030,wind,188,2.677547
Bosnia and Herz.,BIH,2040,solar,313,1.864783
Bosnia and Herz.,BIH,2040,wind,188,4.953513
Bosnia and Herz.,BIH,2050,solar,313,1.866415
Bosnia and Herz.,BIH,2050,wind,353,8.40068
Botswana,BWA,2030,solar,1340,25.156049
Botswana,BWA,2030,wind,905,21.72642
Botswana,BWA,2040,solar,1340,41.762452
Botswana,BWA,2040,wind,905,37.476538
Botswana,BWA,2050,solar,1691,61.615461
Botswana,BWA,2050,wind,1386,63.966664
Brazil,BRA,2030,solar,21915,269.03522
Brazil,BRA,2030,wind,20963,305.408079
Brazil,BRA,2040,solar,21944,443.782716
Brazil,BRA,2040,wind,20963,535.239027
Brazil,BRA,2050,solar,25086,626.267262
Brazil,BRA,2050,wind,29839,882.709536
Brunei,BRN,2030,solar,27,0.035232
Brunei,BRN,2030,wind,26,0.112698
Brunei,BRN,2040,solar,27,0.057989
Brunei,BRN,2040,wind,26,0.209747
Brunei,BRN,2050,solar,27,0.09758
Brunei,BRN,2050,wind,26,0.408558
Bulgaria,BGR,2030,solar,144,0.364912
Bulgaria,BGR,2030,wind,454,7.959546
Bulgaria,BGR,2040,solar,146,0.592163
Bulgaria,BGR,2040,wind,454,14.244877
Bulgaria,BGR,2050,solar,146,0.593047
Bulgaria,BGR,2050,wind,742,20.307183
Burkina Faso,BFA,2030,solar,1063,16.89817
Burkina Faso,BFA,2030,wind,1005,5.604354
Burkina Faso,BFA,2040,solar,1075,24.589575
Burkina Faso,BFA,2040,wind,1005,9.866229
Burkina Faso,BFA,2050,solar,1187,30.670985
Burkina Faso,BFA,2050,wind,1333,22.999422
Burundi,BDI,2030,solar,82,1.401247
Burundi,BDI,2030,wind,164,0.763486
Burundi,BDI,2040,solar,84,1.777268
Burundi,BDI,2040,wind,164,1.333041
Burundi,BDI,2050,solar,84,2.032665
Burundi,BDI,2050,wind,187,2.165936
Cambodia,KHM,2030,solar,564,10.474784
Cambodia,KHM,2030,wind,997,13.104726
Cambodia,KHM,2040,solar,566,13.690021
Cambodia,KHM,2040,wind,997,22.831482
Cambodia,KHM,2050,solar,804,14.776429
Cambodia,KHM,2050,wind,1083,32.287482
Cameroon,CMR,2030,solar,1015,9.51767
Cameroon,CMR,2030,wind,740,6.680223
Cameroon,CMR,2040,solar,1017,14.528388
Cameroon,CMR,2040,wind,740,11.733087
Cameroon,CMR,2050,solar,1119,17.040808
Cameroon,CMR,2050,wind,983,17.440463
Canada,CAN,2030,solar,4965,26.54289
Canada,CAN,2030,wind,7791,69.17926
Canada,CAN,2040,solar,4974,40.612227
Canada,CAN,2040,wind,7853,123.232884
Canada,CAN,2050,solar,6741,56.684043
Canada,CAN,2050,wind,10091,225.106975
Central African Rep.,CAF,2030,solar,118,0.470585
Central African Rep.,CAF,2030,wind,158,1.841305
Central African Rep.,CAF,2040,solar,118,0.870357
Central African Rep.,CAF,2040,wind,158,3.362421
Central African Rep.,CAF,2050,solar,118,1.284848
Central African Rep.,CAF,2050,wind,250,6.302988
Chad,TCD,2030,solar,613,5.407494
Chad,TCD,2030,wind,421,9.401498
Chad,TCD,2040,solar,616,9.229166
Chad,TCD,2040,wind,421,16.297588
Chad,TCD,2050,solar,684,17.14896
Chad,TCD,2050,wind,862,23.684306
Chile,CHL,2030,solar,1273,13.323129
Chile,CHL,2030,wind,1155,10.767116
Chile,CHL,2040,solar,1280,20.531138
Chile,CHL,2040,wind,1155,19.240162
Chile,CHL,2050,solar,1505,27.917909
Chile,CHL,2050,wind,1729,53.936109
China,CHN,2030,solar,19123,286.178211
China,CHN,2030,wind,24986,358.012522
China,CHN,2040,solar,19269,578.785562
China,CHN,2040,wind,24990,637.575285
China,CHN,2050,solar,23199,693.722394
China,CHN,2050,wind,35659,1149.54576
Colombia,COL,2030,solar,1801,27.838858
Colombia,COL,2030,wind,1803,27.35266
Colombia,COL,2040,solar,1805,45.881876
Colombia,COL,2040,wind,1807,47.055917
Colombia,COL,2050,solar,2461,61.295271
Colombia,COL,2050,wind,2677,91.812736
Congo,COG,2030,solar,577,4.348981
Congo,COG,2030,wind,449,4.796731
Congo,COG,2040,solar,577,7.30435
Congo,COG,2040,wind,449,8.525971
Congo,COG,2050,solar,680,8.984879
Congo,COG,2050,wind,552,12.724608
Costa Rica,CRI,2030,solar,204,1.38364
Costa Rica,CRI,2030,wind,82,1.782859
Costa Rica,CRI,2040,solar,204,2.305088
Costa Rica,CRI,2040,wind,82,3.300753
Costa Rica,CRI,2050,solar,205,2.828925
