country,country_iso3,year,type,patch_id,station_count,capacity_gw
Afghanistan,AFG,2030,solar,R02C09,397,7.758216
Afghanistan,AFG,2030,wind,R02C09,376,7.42589
Afghanistan,AFG,2030,wind,R03C09,4,0.026073
Afghanistan,AFG,2040,solar,R02C09,553,10.162323
Afghanistan,AFG,2040,wind,R02C09,516,8.630674
Afghanistan,AFG,2040,wind,R03C09,4,0.031045
Afghanistan,AFG,2050,solar,R02C09,553,10.517108
Afghanistan,AFG,2050,wind,R02C09,516,8.81665
Afghanistan,AFG,2050,wind,R03C09,4,0.031187
Albania,ALB,2030,solar,R02C07,2,4.6e-05
Albania,ALB,2040,solar,R02C07,2,4.6e-05
Albania,ALB,2050,solar,R02C07,93,0.424987
Algeria,DZA,2030,solar,R02C06,189,0.942473
Algeria,DZA,2030,solar,R02C07,512,2.752158
Algeria,DZA,2030,solar,R03C06,49,0.746786
Algeria,DZA,2030,solar,R03C07,183,3.157567
Algeria,DZA,2030,wind,R02C06,77,0.258525
Algeria,DZA,2030,wind,R02C07,88,0.684916
Algeria,DZA,2030,wind,R03C07,34,1.058886
Algeria,DZA,2040,solar,R02C06,249,1.388818
Algeria,DZA,2040,solar,R02C07,694,5.027222
Algeria,DZA,2040,solar,R03C06,49,0.944478
Algeria,DZA,2040,solar,R03C07,253,4.799944
Algeria,DZA,2040,wind,R02C06,142,0.421978
Algeria,DZA,2040,wind,R02C07,287,2.389271
Algeria,DZA,2040,wind,R03C07,59,2.722695
Algeria,DZA,2050,solar,R02C06,249,1.422911
Algeria,DZA,2050,solar,R02C07,694,5.172109
Algeria,DZA,2050,solar,R03C06,49,0.948366
Algeria,DZA,2050,solar,R03C07,253,4.87347
Algeria,DZA,2050,wind,R02C06,142,0.425205
Algeria,DZA,2050,wind,R02C07,287,2.465702
Algeria,DZA,2050,wind,R03C07,59,2.741049
Angola,AGO,2030,solar,R04C07,937,12.760862
Angola,AGO,2030,wind,R04C07,229,2.095413
Angola,AGO,2040,solar,R04C07,1291,16.725676
Angola,AGO,2040,wind,R04C07,335,2.704686
Angola,AGO,2050,solar,R04C07,1291,17.245447
Angola,AGO,2050,wind,R04C07,335,2.765862
Argentina,ARG,2030,solar,R04C04,900,13.97587
Argentina,ARG,2030,solar,R04C05,273,4.31769
Argentina,ARG,2030,solar,R05C04,1829,16.123946
Argentina,ARG,2030,solar,R05C05,499,7.078708
Argentina,ARG,2030,wind,R04C04,489,1.836758
Argentina,ARG,2030,wind,R04C05,10,0.010336
Argentina,ARG,2030,wind,R05C04,721,3.206892
Argentina,ARG,2030,wind,R05C05,368,0.863901
Argentina,ARG,2040,solar,R04C04,1529,24.767393
Argentina,ARG,2040,solar,R04C05,274,4.39456
Argentina,ARG,2040,solar,R05C04,2400,23.057345
Argentina,ARG,2040,solar,R05C05,499,7.08427
Argentina,ARG,2040,wind,R04C04,765,4.91854
Argentina,ARG,2040,wind,R04C05,87,0.494429
Argentina,ARG,2040,wind,R05C04,1701,8.881999
Argentina,ARG,2040,wind,R05C05,551,3.327773
Argentina,ARG,2050,solar,R04C04,1529,25.633689
Argentina,ARG,2050,solar,R04C05,274,4.756116
Argentina,ARG,2050,solar,R05C04,2400,23.531244
Argentina,ARG,2050,solar,R05C05,499,7.676803
Argentina,ARG,2050,wind,R04C04,765,5.030049
Argentina,ARG,2050,wind,R04C05,87,0.496681
Argentina,ARG,2050,wind,R05C04,1701,9.26499
Argentina,ARG,2050,wind,R05C05,551,3.459473
Armenia,ARM,2030,solar,R02C08,8,0.014126
Armenia,ARM,2030,wind,R02C08,86,0.605146
Armenia,ARM,2040,solar,R02C08,8,0.014139
Armenia,ARM,2040,wind,R02C08,98,0.616579
Armenia,ARM,2050,solar,R02C08,8,0.014156
Armenia,ARM,2050,wind,R02C08,98,0.61895
Australia,AUS,2030,solar,R04C10,161,3.617796
Australia,AUS,2030,solar,R04C11,1240,17.890271
Australia,AUS,2030,solar,R04C12,270,4.493611
Australia,AUS,2030,solar,R05C10,230,1.035724
Australia,AUS,2030,solar,R05C11,969,8.539011
Australia,AUS,2030,solar,R05C12,73,0.217264
Australia,AUS,2030,wind,R04C10,75,0.674997
Australia,AUS,2030,wind,R04C11,443,5.218507
Australia,AUS,2030,wind,R04C12,325,1.024043
Australia,AUS,2030,wind,R05C10,118,0.290293
Australia,AUS,2030,wind,R05C11,1081,8.160253
