country,country_iso3,year,type,station_count,capacity_gw
Afghanistan,AFG,2030,solar,397,7.758216
Afghanistan,AFG,2030,wind,380,7.451963
Afghanistan,AFG,2040,solar,553,10.162323
Afghanistan,AFG,2040,wind,520,8.661719
Afghanistan,AFG,2050,solar,553,10.517108
Afghanistan,AFG,2050,wind,520,8.847837
Albania,ALB,2030,solar,2,4.6e-05
Albania,ALB,2040,solar,2,4.6e-05
Albania,ALB,2050,solar,93,0.424987
Algeria,DZA,2030,solar,933,7.598984
Algeria,DZA,2030,wind,199,2.002327
Algeria,DZA,2040,solar,1245,12.160462
Algeria,DZA,2040,wind,488,5.533944
Algeria,DZA,2050,solar,1245,12.416856
Algeria,DZA,2050,wind,488,5.631956
Angola,AGO,2030,solar,937,12.760862
Angola,AGO,2030,wind,229,2.095413
Angola,AGO,2040,solar,1291,16.725676
Angola,AGO,2040,wind,335,2.704686
Angola,AGO,2050,solar,1291,17.245447
Angola,AGO,2050,wind,335,2.765862
Argentina,ARG,2030,solar,3501,41.496214
Argentina,ARG,2030,wind,1588,5.917887
Argentina,ARG,2040,solar,4702,59.303568
Argentina,ARG,2040,wind,3104,17.622741
Argentina,ARG,2050,solar,4702,61.597852
Argentina,ARG,2050,wind,3104,18.251193
Armenia,ARM,2030,solar,8,0.014126
Armenia,ARM,2030,wind,86,0.605146
Armenia,ARM,2040,solar,8,0.014139
Armenia,ARM,2040,wind,98,0.616579
Armenia,ARM,2050,solar,8,0.014156
Armenia,ARM,2050,wind,98,0.61895
Australia,AUS,2030,solar,2943,35.793677
Australia,AUS,2030,wind,2110,15.567884
Australia,AUS,2040,solar,3960,55.961908
Australia,AUS,2040,wind,3343,36.209405
Australia,AUS,2050,solar,3966,57.383832
Australia,AUS,2050,wind,3345,37.088465
Austria,AUT,2030,solar,79,0.161315
Austria,AUT,2030,wind,144,0.260467
Austria,AUT,2040,solar,115,0.32502
Austria,AUT,2040,wind,229,0.382199
Austria,AUT,2050,solar,668,3.824066
Austria,AUT,2050,wind,229,0.384676
Azerbaijan,AZE,2030,solar,25,0.553132
Azerbaijan,AZE,2030,wind,300,1.790523
Azerbaijan,AZE,2040,solar,91,1.193136
Azerbaijan,AZE,2040,wind,623,3.401236
Azerbaijan,AZE,2050,solar,91,1.246186
Azerbaijan,AZE,2050,wind,623,3.427313
Bangladesh,BGD,2030,solar,188,1.249697
Bangladesh,BGD,2030,wind,277,1.905882
Bangladesh,BGD,2040,solar,188,1.253
Bangladesh,BGD,2040,wind,409,2.587099
Bangladesh,BGD,2050,solar,188,1.266257
Bangladesh,BGD,2050,wind,409,2.639043
Belarus,BLR,2030,solar,332,0.593452
Belarus,BLR,2030,wind,164,0.280745
Belarus,BLR,2040,solar,491,0.787182
Belarus,BLR,2040,wind,335,2.328337
Belarus,BLR,2050,solar,492,0.878345
Belarus,BLR,2050,wind,335,2.439755
Belgium,BEL,2030,solar,14,0.132298
Belgium,BEL,2030,wind,27,0.052452
Belgium,BEL,2040,solar,45,0.60287
Belgium,BEL,2040,wind,154,0.654786
Belgium,BEL,2050,solar,378,7.243616
Belgium,BEL,2050,wind,154,24.855307
Belize,BLZ,2030,solar,13,0.07352
Belize,BLZ,2030,wind,68,0.241683
Belize,BLZ,2040,solar,14,0.075246
Belize,BLZ,2040,wind,73,0.310062
Belize,BLZ,2050,solar,14,0.075648
Belize,BLZ,2050,wind,73,0.314047
Benin,BEN,2030,solar,206,1.646003
Benin,BEN,2030,wind,161,0.369013
Benin,BEN,2040,solar,453,4.113008
Benin,BEN,2040,wind,314,0.733185
Benin,BEN,2050,solar,453,4.174415
Benin,BEN,2050,wind,314,0.767692
Bhutan,BTN,2030,solar,11,0.010364
Bhutan,BTN,2040,solar,11,0.010579
Bhutan,BTN,2040,wind,2,0.000912
Bhutan,BTN,2050,solar,11,0.011546
Bhutan,BTN,2050,wind,2,0.000953
Bolivia,BOL,2030,solar,398,3.031466
Bolivia,BOL,2030,wind,217,1.391434
Bolivia,BOL,2040,solar,535,3.798866
Bolivia,BOL,2040,wind,344,4.331876
Bolivia,BOL,2050,solar,535,3.877516
Bolivia,BOL,2050,wind,344,4.466465
Bosnia and Herz.,BIH,2030,solar,18,0.043333
Bosnia and Herz.,BIH,2040,solar,18,0.043334
Bosnia and Herz.,BIH,2040,wind,14,0.217736
Bosnia and Herz.,BIH,2050,solar,360,2.034209
Bosnia and Herz.,BIH,2050,wind,14,0.234313
Botswana,BWA,2030,solar,790,9.595684
Botswana,BWA,2030,wind,375,1.727615
Botswana,BWA,2040,solar,1048,19.444027
Botswana,BWA,2040,wind,622,5.415782
Botswana,BWA,2050,solar,1048,20.011708
Botswana,BWA,2050,wind,622,5.649613
Brazil,BRA,2030,solar,9652,94.702559
Brazil,BRA,2030,wind,6414,30.18474
Brazil,BRA,2040,solar,12069,127.502421
Brazil,BRA,2040,wind,10618,61.762742
Brazil,BRA,2050,solar,12071,131.37572
Brazil,BRA,2050,wind,10620,63.144926
Brunei,BRN,2040,wind,14,0.079129
Brunei,BRN,2050,wind,14,0.079157
Bulgaria,BGR,2030,solar,94,0.167478
Bulgaria,BGR,2030,wind,196,0.235559
Bulgaria,BGR,2040,solar,161,0.237681
Bulgaria,BGR,2040,wind,247,0.427136
Bulgaria,BGR,2050,solar,214,0.39082
Bulgaria,BGR,2050,wind,247,0.44801
Burkina Faso,BFA,2030,solar,215,2.576615
Burkina Faso,BFA,2030,wind,318,1.039515
Burkina Faso,BFA,2040,solar,397,5.350828
Burkina Faso,BFA,2040,wind,445,3.647434
Burkina Faso,BFA,2050,solar,398,5.44969
Burkina Faso,BFA,2050,wind,445,3.722787
Burundi,BDI,2030,solar,56,0.038919
Burundi,BDI,2040,solar,56,0.060222
Burundi,BDI,2050,solar,56,0.066287
Cambodia,KHM,2030,solar,357,3.420826
Cambodia,KHM,2030,wind,39,0.078061
Cambodia,KHM,2040,solar,380,3.465079
Cambodia,KHM,2040,wind,423,2.879235
Cambodia,KHM,2050,solar,380,3.53438
Cambodia,KHM,2050,wind,423,2.8981
Cameroon,CMR,2030,solar,425,3.166565
Cameroon,CMR,2030,wind,68,0.218927
Cameroon,CMR,2040,solar,425,3.499399
Cameroon,CMR,2040,wind,421,4.030081
Cameroon,CMR,2050,solar,425,3.737306
Cameroon,CMR,2050,wind,421,4.065716
Canada,CAN,2030,solar,1543,5.679237
Canada,CAN,2030,wind,981,3.491909
Canada,CAN,2040,solar,2178,7.728642
Canada,CAN,2040,wind,3449,29.890432
Canada,CAN,2050,solar,2178,7.934256
Canada,CAN,2050,wind,3451,30.318966
Central African Rep.,CAF,2030,solar,123,0.64641
Central African Rep.,CAF,2040,solar,123,0.662448
Central African Rep.,CAF,2050,solar,123,0.692263
Chad,TCD,2030,solar,399,0.738695
Chad,TCD,2030,wind,94,0.130897
Chad,TCD,2040,solar,423,1.186325
Chad,TCD,2040,wind,267,0.383798
Chad,TCD,2050,solar,423,1.215942
Chad,TCD,2050,wind,267,0.396514
Chile,CHL,2030,solar,328,3.55853
Chile,CHL,2030,wind,564,3.950957
Chile,CHL,2040,solar,581,4.887798
Chile,CHL,2040,wind,752,5.235143
Chile,CHL,2050,solar,581,5.002516
Chile,CHL,2050,wind,753,5.323824
China,CHN,2030,solar,5694,57.37527
China,CHN,2030,wind,5055,33.198649
China,CHN,2040,solar,7633,79.488938
China,CHN,2040,wind,9126,65.303604
China,CHN,2050,solar,10108,603.922555
China,CHN,2050,wind,9130,225.068203
Colombia,COL,2030,solar,661,5.219743
Colombia,COL,2030,wind,284,1.697524
Colombia,COL,2040,solar,973,9.947588
Colombia,COL,2040,wind,992,6.821808
Colombia,COL,2050,solar,975,10.249803
Colombia,COL,2050,wind,992,6.897241
Congo,COG,2030,solar,45,0.121036
Congo,COG,2040,solar,156,0.81097
Congo,COG,2040,wind,73,0.490005
Congo,COG,2050,solar,156,0.820048
Congo,COG,2050,wind,73,0.491393
Croatia,HRV,2030,solar,10,0.026611
Croatia,HRV,2040,solar,10,0.026743
Croatia,HRV,2040,wind,99,1.296946
Croatia,HRV,2050,solar,110,0.911704
Croatia,HRV,2050,wind,99,1.315975
Cuba,CUB,2030,solar,125,1.128886
Cuba,CUB,2030,wind,47,0.434951
Cuba,CUB,2040,solar,125,1.284424
Cuba,CUB,2040,wind,121,1.130658
Cuba,CUB,2050,solar,143,5.953035
Cuba,CUB,2050,wind,121,10.581832
Cyprus,CYP,2040,solar,5,0.018452
Cyprus,CYP,2050,solar,5,0.01846
Czechia,CZE,2030,solar,33,0.058963
Czechia,CZE,2030,wind,60,0.084716
Czechia,CZE,2040,solar,152,0.563186
Czechia,CZE,2040,wind,234,0.820456
Czechia,CZE,2050,solar,258,1.370418
Czechia,CZE,2050,wind,234,0.832568
Côte d'Ivoire,CIV,2030,solar,593,2.435528
Côte d'Ivoire,CIV,2030,wind,626,3.085201
Côte d'Ivoire,CIV,2040,solar,685,2.950972
Côte d'Ivoire,CIV,2040,wind,1176,4.676264
Côte d'Ivoire,CIV,2050,solar,685,2.979313
Côte d'Ivoire,CIV,2050,wind,1176,4.820767
Dem. Rep. Congo,COD,2030,solar,933,6.079335
Dem. Rep. Congo,COD,2030,wind,264,1.016028
Dem. Rep. Congo,COD,2040,solar,1223,7.375979
Dem. Rep. Congo,COD,2040,wind,665,3.407919
Dem. Rep. Congo,COD,2050,solar,1223,7.514424
Dem. Rep. Congo,COD,2050,wind,665,3.437285
Denmark,DNK,2030,solar,15,0.041109
Denmark,DNK,2030,wind,73,0.665257
Denmark,DNK,2040,solar,105,0.313656
Denmark,DNK,2040,wind,90,0.900853
Denmark,DNK,2050,solar,336,1.804423
Denmark,DNK,2050,wind,92,18.101963
Djibouti,DJI,2030,solar,82,0.167614
Djibouti,DJI,2030,wind,11,0.023461
Djibouti,DJI,2040,solar,82,0.665491
Djibouti,DJI,2040,wind,11,0.05897
Djibouti,DJI,2050,solar,82,0.667307
Djibouti,DJI,2050,wind,11,0.062366
Dominican Rep.,DOM,2030,solar,61,0.413806
Dominican Rep.,DOM,2030,wind,68,0.116207
Dominican Rep.,DOM,2040,solar,118,0.750655
Dominican Rep.,DOM,2040,wind,90,0.233018
Dominican Rep.,DOM,2050,solar,129,3.835511
Dominican Rep.,DOM,2050,wind,90,0.241952
Ecuador,ECU,2030,solar,121,0.987176
Ecuador,ECU,2030,wind,69,0.397579
Ecuador,ECU,2040,solar,128,1.143825
Ecuador,ECU,2040,wind,358,2.369221
Ecuador,ECU,2050,solar,128,1.155093
Ecuador,ECU,2050,wind,359,2.413453
Egypt,EGY,2030,solar,437,5.160702
Egypt,EGY,2030,wind,452,1.219072
Egypt,EGY,2040,solar,508,6.899815
Egypt,EGY,2040,wind,748,10.011787
Egypt,EGY,2050,solar,508,7.134286
Egypt,EGY,2050,wind,749,10.091216
El Salvador,SLV,2030,solar,64,0.382414
El Salvador,SLV,2030,wind,4,0.001077
El Salvador,SLV,2040,solar,107,0.740155
El Salvador,SLV,2040,wind,24,0.104636
El Salvador,SLV,2050,solar,107,0.742897
El Salvador,SLV,2050,wind,24,0.113717
Eq. Guinea,GNQ,2030,wind,20,0.075842
Eq. Guinea,GNQ,2040,wind,20,0.077002
Eq. Guinea,GNQ,2050,wind,20,0.078905
Eritrea,ERI,2030,wind,4,0.148928
Eritrea,ERI,2040,solar,45,0.126803
Eritrea,ERI,2040,wind,17,0.193654
Eritrea,ERI,2050,solar,45,0.127382
Eritrea,ERI,2050,wind,17,0.20269
Estonia,EST,2030,solar,17,0.026093
Estonia,EST,2030,wind,46,0.713352
Estonia,EST,2040,solar,115,0.169284
Estonia,EST,2040,wind,144,0.930872
Estonia,EST,2050,solar,178,0.72081
Estonia,EST,2050,wind,144,0.946359
Ethiopia,ETH,2030,solar,958,10.745049
Ethiopia,ETH,2030,wind,792,6.380221
Ethiopia,ETH,2040,solar,1124,13.611141
Ethiopia,ETH,2040,wind,1177,9.880753
Ethiopia,ETH,2050,solar,1124,14.043562
Ethiopia,ETH,2050,wind,1180,10.298135
France,-99,2030,solar,968,4.896367
France,-99,2030,wind,413,2.605406
France,-99,2040,solar,1166,5.738056
France,-99,2040,wind,726,5.605692
France,-99,2050,solar,5744,65.83498
France,-99,2050,wind,726,28.357674
Gabon,GAB,2030,solar,44,0.418185
Gabon,GAB,2030,wind,50,0.177751
Gabon,GAB,2040,solar,72,0.438098
Gabon,GAB,2040,wind,56,0.335513
Gabon,GAB,2050,solar,72,0.440422
Gabon,GAB,2050,wind,56,0.340285
Gambia,GMB,2030,solar,41,0.150367
Gambia,GMB,2030,wind,21,0.856616
Gambia,GMB,2040,solar,54,0.19235
Gambia,GMB,2040,wind,21,0.857121
Gambia,GMB,2050,solar,54,0.192779
Gambia,GMB,2050,wind,21,0.885746
Georgia,GEO,2030,solar,66,0.144719
Georgia,GEO,2030,wind,86,0.192769
Georgia,GEO,2040,solar,66,0.144849
Georgia,GEO,2040,wind,207,1.658462
Georgia,GEO,2050,solar,66,0.145038
Georgia,GEO,2050,wind,207,1.663643
Germany,DEU,2030,solar,1063,3.37023
Germany,DEU,2030,wind,248,1.961051
Germany,DEU,2040,solar,1299,4.487359
Germany,DEU,2040,wind,830,5.927299
Germany,DEU,2050,solar,4268,50.794018
Germany,DEU,2050,wind,830,7.877129
Ghana,GHA,2030,solar,354,4.948893
Ghana,GHA,2030,wind,174,0.454869
Ghana,GHA,2040,solar,479,6.846675
Ghana,GHA,2040,wind,543,3.494854
Ghana,GHA,2050,solar,480,7.075959
Ghana,GHA,2050,wind,543,3.539085
Greece,GRC,2030,solar,113,0.50439
Greece,GRC,2040,solar,113,0.505138
Greece,GRC,2040,wind,127,2.097305
Greece,GRC,2050,solar,513,3.220025
Greece,GRC,2050,wind,128,2.175159
