country,country_iso3,year,type,station_count,capacity_gw
Cambodia,KHM,2050,wind,855,19.421766
Cameroon,CMR,2030,solar,554,3.404465
Cameroon,CMR,2030,wind,632,5.747439
Cameroon,CMR,2040,solar,555,4.079408
Cameroon,CMR,2040,wind,632,6.481039
Cameroon,CMR,2050,solar,640,5.305707
Cameroon,CMR,2050,wind,658,8.81389
Canada,CAN,2030,solar,5494,31.811143
Canada,CAN,2030,wind,6421,64.428364
Canada,CAN,2040,solar,5508,34.059688
Canada,CAN,2040,wind,6423,72.271014
Canada,CAN,2050,solar,5514,41.684363
Canada,CAN,2050,wind,6524,102.26046
Central African Rep.,CAF,2030,solar,68,0.918861
Central African Rep.,CAF,2030,wind,15,0.261348
Central African Rep.,CAF,2040,solar,68,0.974635
Central African Rep.,CAF,2040,wind,15,0.310724
Central African Rep.,CAF,2050,solar,68,0.996505
Central African Rep.,CAF,2050,wind,41,0.455507
Chad,TCD,2030,solar,559,9.826575
Chad,TCD,2030,wind,684,16.265081
Chad,TCD,2040,solar,561,11.019328
Chad,TCD,2040,wind,684,18.542944
Chad,TCD,2050,solar,562,13.038727
Chad,TCD,2050,wind,718,21.323426
Chile,CHL,2030,solar,1014,9.36605
Chile,CHL,2030,wind,1114,11.585175
Chile,CHL,2040,solar,1015,10.342522
Chile,CHL,2040,wind,1114,12.838408
Chile,CHL,2050,solar,1089,15.034723
Chile,CHL,2050,wind,1142,18.728254
China,CHN,2030,solar,20774,391.201139
China,CHN,2030,wind,26558,496.630325
China,CHN,2040,solar,20843,580.644354
China,CHN,2040,wind,26746,547.301981
China,CHN,2050,solar,21123,655.505503
China,CHN,2050,wind,28086,745.98069
Colombia,COL,2030,solar,2027,26.704811
Colombia,COL,2030,wind,1723,16.233601
Colombia,COL,2040,solar,2029,28.93249
Colombia,COL,2040,wind,1724,18.256865
Colombia,COL,2050,solar,2038,40.153977
Colombia,COL,2050,wind,1819,24.987608
Congo,COG,2030,solar,606,4.294209
Congo,COG,2030,wind,397,3.825854
Congo,COG,2040,solar,607,4.699682
Congo,COG,2040,wind,397,4.166784
Congo,COG,2050,solar,608,6.167474
