country,country_iso3,year,type,patch_id,station_count,capacity_gw
Afghanistan,AFG,2030,solar,R02C09,1147,46.061077
Afghanistan,AFG,2030,solar,R03C09,10,0.713551
Afghanistan,AFG,2030,wind,R02C09,1026,19.235125
Afghanistan,AFG,2030,wind,R03C09,5,0.040809
Afghanistan,AFG,2040,solar,R02C09,1147,65.568548
Afghanistan,AFG,2040,solar,R03C09,10,0.980568
Afghanistan,AFG,2040,wind,R02C09,1026,33.819055
Afghanistan,AFG,2040,wind,R03C09,5,0.070535
Afghanistan,AFG,2050,solar,R02C09,1313,81.168671
Afghanistan,AFG,2050,solar,R03C09,10,1.073823
Afghanistan,AFG,2050,wind,R02C09,1502,64.184202
Afghanistan,AFG,2050,wind,R03C09,5,0.095632
Albania,ALB,2030,wind,R02C07,85,1.151188
Albania,ALB,2040,solar,R02C07,48,0.214569
Albania,ALB,2040,wind,R02C07,85,2.175258
Albania,ALB,2050,solar,R02C07,48,0.214569
Albania,ALB,2050,wind,R02C07,139,4.163484
Algeria,DZA,2030,solar,R02C06,486,7.638351
Algeria,DZA,2030,solar,R02C07,1388,42.558207
Algeria,DZA,2030,solar,R03C06,48,1.525717
Algeria,DZA,2030,solar,R03C07,449,20.496984
Algeria,DZA,2030,wind,R02C06,332,3.621129
Algeria,DZA,2030,wind,R02C07,1262,17.286218
Algeria,DZA,2030,wind,R03C06,14,1.106273
Algeria,DZA,2030,wind,R03C07,207,2.050892
Algeria,DZA,2040,solar,R02C06,487,13.469428
Algeria,DZA,2040,solar,R02C07,1390,66.311393
Algeria,DZA,2040,solar,R03C06,48,2.691024
Algeria,DZA,2040,solar,R03C07,449,33.019946
Algeria,DZA,2040,wind,R02C06,332,6.337602
Algeria,DZA,2040,wind,R02C07,1262,29.667394
Algeria,DZA,2040,wind,R03C06,14,1.913632
Algeria,DZA,2040,wind,R03C07,207,3.675639
Algeria,DZA,2050,solar,R02C06,576,19.926434
Algeria,DZA,2050,solar,R02C07,1578,77.324212
Algeria,DZA,2050,solar,R03C06,60,4.451208
Algeria,DZA,2050,solar,R03C07,559,47.668202
Algeria,DZA,2050,wind,R02C06,500,11.022496
Algeria,DZA,2050,wind,R02C07,2129,51.558198
Algeria,DZA,2050,wind,R03C06,94,2.799988
Algeria,DZA,2050,wind,R03C07,342,7.671848
Angola,AGO,2030,solar,R04C07,2409,53.266053
Angola,AGO,2030,wind,R04C07,1282,18.243937
Angola,AGO,2040,solar,R04C07,2410,76.963155
Angola,AGO,2040,wind,R04C07,1282,32.288728
Angola,AGO,2050,solar,R04C07,2956,111.692442
Angola,AGO,2050,wind,R04C07,1911,54.889089
Argentina,ARG,2030,solar,R04C04,2307,30.847855
Argentina,ARG,2030,solar,R04C05,1259,10.744699
Argentina,ARG,2030,solar,R05C04,5744,79.311208
Argentina,ARG,2030,solar,R05C05,1156,16.526194
Argentina,ARG,2030,wind,R04C04,1342,14.903252
Argentina,ARG,2030,wind,R04C05,784,3.012008
Argentina,ARG,2030,wind,R05C04,4703,59.29798
Argentina,ARG,2030,wind,R05C05,1197,11.97594
Argentina,ARG,2040,solar,R04C04,2311,51.019398
Argentina,ARG,2040,solar,R04C05,1260,18.386605
Argentina,ARG,2040,solar,R05C04,5804,128.958962
Argentina,ARG,2040,solar,R05C05,1156,26.868172
Argentina,ARG,2040,wind,R04C04,1342,25.316664
Argentina,ARG,2040,wind,R04C05,784,5.376123
Argentina,ARG,2040,wind,R05C04,4763,101.987937
Argentina,ARG,2040,wind,R05C05,1197,22.093077
Argentina,ARG,2050,solar,R04C04,2617,76.526001
Argentina,ARG,2050,solar,R04C05,1325,22.963705
Argentina,ARG,2050,solar,R05C04,6468,179.704105
Argentina,ARG,2050,solar,R05C05,1390,37.806834
Argentina,ARG,2050,wind,R04C04,1858,47.576668
Argentina,ARG,2050,wind,R04C05,1210,9.03325
Argentina,ARG,2050,wind,R05C04,6758,209.356928
Argentina,ARG,2050,wind,R05C05,1557,30.434274
Armenia,ARM,2030,solar,R02C08,83,1.031524
Armenia,ARM,2030,wind,R02C08,213,0.883554
Armenia,ARM,2040,solar,R02C08,83,1.0969
Armenia,ARM,2040,wind,R02C08,213,1.541874
Armenia,ARM,2050,solar,R02C08,109,1.110596
Armenia,ARM,2050,wind,R02C08,216,2.096086
Australia,AUS,2030,solar,R04C10,581,11.994757
Australia,AUS,2030,solar,R04C11,2384,57.91276
Australia,AUS,2030,solar,R04C12,907,25.836202
Australia,AUS,2030,solar,R05C10,470,5.022613
Australia,AUS,2030,solar,R05C11,3621,54.800279
Australia,AUS,2030,solar,R05C12,441,5.152613
Australia,AUS,2030,wind,R04C10,327,10.430579
Australia,AUS,2030,wind,R04C11,1555,37.666211
Australia,AUS,2030,wind,R04C12,1010,16.542776
Australia,AUS,2030,wind,R05C10,699,12.710484
Australia,AUS,2030,wind,R05C11,2966,51.15919
Australia,AUS,2030,wind,R05C12,347,5.362242
Australia,AUS,2040,solar,R04C10,582,21.955263
Australia,AUS,2040,solar,R04C11,2386,96.717484
Australia,AUS,2040,solar,R04C12,910,38.831579
Australia,AUS,2040,solar,R05C10,470,6.820209
Australia,AUS,2040,solar,R05C11,3630,90.426944
Australia,AUS,2040,solar,R05C12,443,7.408807
Australia,AUS,2040,wind,R04C10,327,18.895379
Australia,AUS,2040,wind,R04C11,1555,66.985188
Australia,AUS,2040,wind,R04C12,1010,27.447565
Australia,AUS,2040,wind,R05C10,699,23.449386
Australia,AUS,2040,wind,R05C11,2966,93.850552
Australia,AUS,2040,wind,R05C12,347,9.306843
Australia,AUS,2050,solar,R04C10,700,32.385298
Australia,AUS,2050,solar,R04C11,2937,147.453801
Australia,AUS,2050,solar,R04C12,1009,46.465568
Australia,AUS,2050,solar,R05C10,470,7.912651
Australia,AUS,2050,solar,R05C11,4340,126.926592
Australia,AUS,2050,solar,R05C12,476,9.266722
